Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Interactive Visits,Interaction time(h)
2023-03-06,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.53,0.57,0,0.00
2023-03-06,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.16,0.11,0,0.00
2023-03-05,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.84,0.57,0,0.00
2023-03-05,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.00,0.00,0,0.00
2023-03-05,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,0.50,0.20,0,0.00
2023-03-05,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.87,1.26,0,0.00
2023-03-04,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.05,1.42,0,0.00
2023-03-04,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.05,0.03,0,0.00
2023-03-03,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.12,0.09,0,0.00
2023-03-03,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.05,0.04,0,0.00
2023-03-03,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,1.02,0.63,0,0.00
2023-03-02,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.50,2.10,0,0.00
2023-03-01,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.73,9.71,0,0.00
2023-03-01,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.56,0.37,0,0.00
2023-03-01,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.11,0.07,0,0.00
