Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-02-27,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-27 10:46:11,false,0.73,0.56,21
2023-02-27,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-27 12:06:09,false,0.40,0.35,28
2023-02-27,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-02-27 09:29:38,false,0.01,0.01,1
2023-02-27,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-27 08:01:31,false,1.47,1.38,37
2023-02-27,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-26 16:50:55,false,7.65,1.17,53
2023-02-26,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-25 21:29:19,false,3.01,2.00,146
2023-02-26,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-26 09:52:24,false,1.63,1.31,127
2023-02-26,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-26 05:27:28,false,2.04,2.35,77
2023-02-26,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-25 22:46:41,false,1.72,1.20,134
2023-02-26,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-26 05:18:07,false,1.20,1.12,104
2023-02-26,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-26 00:07:08,false,0.38,0.35,30
2023-02-26,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-02-26 09:35:12,false,0.91,0.62,73
2023-02-26,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2023-02-25 23:18:09,false,1.20,1.37,85
2023-02-26,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-02-26 09:21:28,false,0.14,0.13,16
2023-02-26,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-02-26 07:34:36,false,2.92,3.65,14
2023-02-26,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-02-26 14:20:36,false,0.16,0.10,6
2023-02-26,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2023-02-26 08:46:06,false,7.73,0.00,4
2023-02-26,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-26 04:51:55,false,1.63,1.59,56
2023-02-26,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-26 10:05:13,false,0.41,0.49,32
2023-02-26,bellabot,sv1000213943034,20:50:E7:23:56:70,Чайхана PLOV,2023-02-26 16:27:12,false,0.05,0.06,2
2023-02-26,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-26 07:28:26,false,1.03,1.06,63
2023-02-26,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2023-02-25 19:43:15,false,4.78,1.55,106
2023-02-26,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-26 06:26:41,false,2.06,1.94,38
2023-02-26,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,Velich,2023-02-26 00:26:52,false,0.05,0.06,4
2023-02-26,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-26 09:44:15,false,1.76,0.98,42
2023-02-26,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-02-26 10:42:32,false,1.79,2.08,52
2023-02-26,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-02-25 23:09:24,false,1.34,1.33,69
2023-02-26,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-25 23:47:13,false,0.71,0.55,46
2023-02-26,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-02-26 03:24:54,false,2.08,2.61,55
2023-02-26,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-26 05:49:49,false,8.67,1.00,24
2023-02-26,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-26 14:03:20,false,1.44,0.29,16
2023-02-26,bellabot,SV1000214017034,20:50:E7:02:BE:0C,Soft-servis,2023-02-26 10:51:18,false,0.64,1.07,1
2023-02-26,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-26 00:14:24,false,0.26,0.30,16
2023-02-25,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-24 21:14:20,false,3.26,1.90,168
2023-02-25,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-02-25 09:43:06,false,2.78,2.92,92
2023-02-25,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2023-02-24 21:48:02,false,2.70,2.92,206
2023-02-25,bellabot,SV1000214017034,20:50:E7:02:BE:0C,Soft-servis,2023-02-25 12:12:51,false,0.29,0.45,1
2023-02-25,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-02-25 02:03:51,false,2.44,2.79,66
2023-02-25,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-02-25 10:23:46,false,2.10,2.69,48
2023-02-25,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-25 06:58:22,false,1.53,1.06,35
2023-02-25,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-25 10:22:49,false,1.12,0.63,55
2023-02-25,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-24 21:59:58,false,2.50,1.59,173
2023-02-25,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-25 01:43:04,false,3.78,2.39,101
2023-02-25,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-02-25 09:05:51,false,1.40,0.90,113
2023-02-25,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-25 06:12:07,false,1.30,1.25,113
2023-02-25,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-24 22:37:21,false,1.88,1.13,148
