Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Number of tie-in passengers
20:00,АРТ-Премиум,bellabot,SV1000214017013,20:50:E7:02:BF:E8,2022-06-10 05:42:57,false,0.00,0.28,1
20:00,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.01,0.01,1
19:00,АРТ-Премиум,bellabot,SV1000214017013,20:50:E7:02:BF:E8,2022-06-10 05:42:57,false,0.00,0.00,1
18:00,АРТ-Премиум,bellabot,SV1000214017013,20:50:E7:02:BF:E8,2022-06-10 05:42:57,false,0.01,0.01,2
16:00,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.00,0.00,2
9:00,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.01,0.01,1
9:00,АРТ-Премиум,bellabot,SV1000214017013,20:50:E7:02:BF:E8,2022-06-10 05:42:57,false,0.02,0.01,2
2:00,Parmesan,bellabot,Sv1000214017008,20:50:E7:23:83:6A,2022-01-17 06:49:56,false,0.02,0.03,4
