Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Runtime(h),Number of greetings,reached people,Attract people,Interactive Visits
18:00,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1.12,150,75,4,1
17:00,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,2.04,120,233,264,8
15:00,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1.70,446,227,104,2
13:00,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,3.69,514,566,244,30
9:00,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.03,8,1,1,1
